ICD-10,Lab_Item,Original_ICD_Range
Y509,CNS stimulant drug level if available,Y508–Y509
Y509,Creatine kinase if severe toxicity suspected,Y508–Y509
Y510,Plasma cholinesterase,Y510
Y510,Red blood cell acetylcholinesterase,Y510
Y511,Drug level if available,Y511–Y519
Y511,Electrolyte panel,Y511–Y519
Y511,Glucose,Y511–Y519
Y512,Drug level if available,Y511–Y519
Y512,Electrolyte panel,Y511–Y519
Y512,Glucose,Y511–Y519
Y513,Drug level if available,Y511–Y519
Y513,Electrolyte panel,Y511–Y519
Y513,Glucose,Y511–Y519
Y514,Drug level if available,Y511–Y519
Y514,Electrolyte panel,Y511–Y519
Y514,Glucose,Y511–Y519
Y515,Drug level if available,Y511–Y519
Y515,Electrolyte panel,Y511–Y519
Y515,Glucose,Y511–Y519
Y516,Drug level if available,Y511–Y519
Y516,Electrolyte panel,Y511–Y519
Y516,Glucose,Y511–Y519
Y517,Drug level if available,Y511–Y519
Y517,Electrolyte panel,Y511–Y519
Y517,Glucose,Y511–Y519
Y518,Drug level if available,Y511–Y519
Y518,Electrolyte panel,Y511–Y519
Y518,Glucose,Y511–Y519
Y519,Drug level if available,Y511–Y519
Y519,Electrolyte panel,Y511–Y519
Y519,Glucose,Y511–Y519
Y520,Digoxin level,Y520
Y520,Potassium,Y520
Y520,Serum creatinine,Y520
Y520,eGFR,Y520
Y521,Calcium-channel blocker level if available,Y521
Y521,Glucose,Y521
Y521,Calcium,Y521
Y521,Lactate,Y521
Y522,Antiarrhythmic drug level according to suspected agent,Y522
Y522,Electrolyte panel,Y522
Y523,Drug level if available,Y523–Y529
Y523,Electrolyte panel,Y523–Y529
Y523,Serum creatinine,Y523–Y529
Y523,eGFR,Y523–Y529
Y524,Drug level if available,Y523–Y529
Y524,Electrolyte panel,Y523–Y529
Y524,Serum creatinine,Y523–Y529
Y524,eGFR,Y523–Y529
Y525,Drug level if available,Y523–Y529
Y525,Electrolyte panel,Y523–Y529
Y525,Serum creatinine,Y523–Y529
Y525,eGFR,Y523–Y529
Y526,Drug level if available,Y523–Y529
Y526,Electrolyte panel,Y523–Y529
Y526,Serum creatinine,Y523–Y529
Y526,eGFR,Y523–Y529
Y527,Drug level if available,Y523–Y529
Y527,Electrolyte panel,Y523–Y529
Y527,Serum creatinine,Y523–Y529
Y527,eGFR,Y523–Y529
Y528,Drug level if available,Y523–Y529
Y528,Electrolyte panel,Y523–Y529
Y528,Serum creatinine,Y523–Y529
Y528,eGFR,Y523–Y529
Y529,Drug level if available,Y523–Y529
Y529,Electrolyte panel,Y523–Y529
Y529,Serum creatinine,Y523–Y529
Y529,eGFR,Y523–Y529
Y530,Electrolyte panel,Y530–Y539
Y530,Magnesium,Y530–Y539
Y530,Serum creatinine,Y530–Y539
Y530,eGFR if adverse effect suspected,Y530–Y539
Y531,Electrolyte panel,Y530–Y539
Y531,Magnesium,Y530–Y539
Y531,Serum creatinine,Y530–Y539
Y531,eGFR if adverse effect suspected,Y530–Y539
Y532,Electrolyte panel,Y530–Y539
Y532,Magnesium,Y530–Y539
Y532,Serum creatinine,Y530–Y539
Y532,eGFR if adverse effect suspected,Y530–Y539
Y533,Electrolyte panel,Y530–Y539
Y533,Magnesium,Y530–Y539
Y533,Serum creatinine,Y530–Y539
Y533,eGFR if adverse effect suspected,Y530–Y539
Y534,Electrolyte panel,Y530–Y539
Y534,Magnesium,Y530–Y539
Y534,Serum creatinine,Y530–Y539
Y534,eGFR if adverse effect suspected,Y530–Y539
Y535,Electrolyte panel,Y530–Y539
Y535,Magnesium,Y530–Y539
Y535,Serum creatinine,Y530–Y539
Y535,eGFR if adverse effect suspected,Y530–Y539
Y536,Electrolyte panel,Y530–Y539
Y536,Magnesium,Y530–Y539
Y536,Serum creatinine,Y530–Y539
Y536,eGFR if adverse effect suspected,Y530–Y539
Y537,Electrolyte panel,Y530–Y539
Y537,Magnesium,Y530–Y539
Y537,Serum creatinine,Y530–Y539
Y537,eGFR if adverse effect suspected,Y530–Y539
Y538,Electrolyte panel,Y530–Y539
Y538,Magnesium,Y530–Y539
Y538,Serum creatinine,Y530–Y539
Y538,eGFR if adverse effect suspected,Y530–Y539
Y539,Electrolyte panel,Y530–Y539
Y539,Magnesium,Y530–Y539
Y539,Serum creatinine,Y530–Y539
Y539,eGFR if adverse effect suspected,Y530–Y539
Y540,Sodium,Y540
Y540,Potassium,Y540
Y540,Serum creatinine,Y540
Y540,eGFR,Y540
Y541,Potassium,Y541
Y541,Serum creatinine,Y541
Y541,eGFR,Y541
Y542,Sodium,Y542–Y545
Y542,Potassium,Y542–Y545
Y542,Magnesium,Y542–Y545
Y542,Serum creatinine,Y542–Y545
Y542,eGFR,Y542–Y545
Y543,Sodium,Y542–Y545
Y543,Potassium,Y542–Y545
Y543,Magnesium,Y542–Y545
Y543,Serum creatinine,Y542–Y545
Y543,eGFR,Y542–Y545
Y544,Sodium,Y542–Y545
Y544,Potassium,Y542–Y545
Y544,Magnesium,Y542–Y545
Y544,Serum creatinine,Y542–Y545
Y544,eGFR,Y542–Y545
Y545,Sodium,Y542–Y545
Y545,Potassium,Y542–Y545
Y545,Magnesium,Y542–Y545
Y545,Serum creatinine,Y542–Y545
Y545,eGFR,Y542–Y545
Y546,Electrolyte panel,Y546
Y546,Serum osmolality,Y546
Y547,Calcium,Y547
Y547,Phosphate,Y547
Y547,25-hydroxyvitamin D,Y547
Y547,Parathyroid hormone,Y547
Y548,Uric acid,Y548
Y548,Serum creatinine,Y548
Y548,eGFR,Y548
Y549,Electrolyte panel,Y549
Y549,Blood mineral level according to mineral salt,Y549
Y550,Electrolyte panel,Y550
Y550,Lactate if uterine hyperstimulation/ischemia suspected,Y550
Y551,Creatine kinase,Y551–Y552
Y551,Potassium,Y551–Y552
Y551,Serum creatinine,Y551–Y552
Y551,eGFR if rhabdomyolysis suspected,Y551–Y552
Y552,Creatine kinase,Y551–Y552
Y552,Potassium,Y551–Y552
Y552,Serum creatinine,Y551–Y552
Y552,eGFR if rhabdomyolysis suspected,Y551–Y552
Y553,Drug level if available,Y553–Y557
Y553,Blood gas if respiratory depression or severe reaction,Y553–Y557
Y554,Drug level if available,Y553–Y557
Y554,Blood gas if respiratory depression or severe reaction,Y553–Y557
Y555,Drug level if available,Y553–Y557
Y555,Blood gas if respiratory depression or severe reaction,Y553–Y557
Y556,Drug level if available,Y553–Y557
Y556,Blood gas if respiratory depression or severe reaction,Y553–Y557
Y557,Drug level if available,Y553–Y557
Y557,Blood gas if respiratory depression or severe reaction,Y553–Y557
Y560,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y561,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y562,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y563,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y564,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y565,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y566,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y567,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y568,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y569,Laboratory test according to systemic adverse effect if present,Y560–Y569
Y570,Glucose,Y570
Y570,Electrolyte panel,Y570
Y570,Drug level if available,Y570
Y571,Lipid profile,Y571
Y571,Liver function test,Y571
Y572,Heavy metal level / toxicology test according to chelated substance,Y572
Y573,AST,Y573
Y573,ALT,Y573
Y573,Bilirubin,Y573
Y574,Allergy testing / serum tryptase if hypersensitivity suspected,Y574
Y575,Serum creatinine,Y575
Y575,eGFR,Y575
Y575,Urinalysis if contrast-associated kidney injury suspected,Y575
Y576,Laboratory test according to diagnostic agent adverse effect,Y576
Y577,Vitamin level according to suspected vitamin,Y577
Y577,Calcium if vitamin D excess suspected,Y577
Y578,Drug level / laboratory test according to suspected adverse effect,Y578–Y579
Y579,Drug level / laboratory test according to suspected adverse effect,Y578–Y579
Y580,Complete blood count,Y580–Y599
Y580,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y580,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y581,Complete blood count,Y580–Y599
Y581,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y581,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y582,Complete blood count,Y580–Y599
Y582,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y582,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y583,Complete blood count,Y580–Y599
Y583,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y583,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y584,Complete blood count,Y580–Y599
Y584,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y584,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y585,Complete blood count,Y580–Y599
Y585,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y585,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y586,Complete blood count,Y580–Y599
Y586,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y586,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y588,Complete blood count,Y580–Y599
Y588,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y588,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y589,Complete blood count,Y580–Y599
Y589,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y589,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y590,Complete blood count,Y580–Y599
Y590,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y590,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y591,Complete blood count,Y580–Y599
Y591,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y591,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y592,Complete blood count,Y580–Y599
Y592,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y592,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y593,Complete blood count,Y580–Y599
Y593,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y593,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y598,Complete blood count,Y580–Y599
Y598,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y598,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y599,Complete blood count,Y580–Y599
Y599,C-reactive protein if vaccine-associated infection/inflammation suspected,Y580–Y599
Y599,Serum tryptase if anaphylaxis suspected,Y580–Y599
Y580,Mycobacterial culture,Y580
Y580,MTB complex DNA detection if BCG infection suspected,Y580
Y593,Serum tryptase if anaphylaxis suspected,Y593
Y593,Immunoglobulin level if immune reaction suspected,Y593
M000,Synovial fluid Gram stain,M000
M000,Synovial fluid bacterial culture,M000
M000,Blood culture,M000
M000,Staphylococcus aureus culture,M000
M0000,Synovial fluid Gram stain,M000
M0000,Synovial fluid bacterial culture,M000
M0000,Blood culture,M000
M0000,Staphylococcus aureus culture,M000
M0001,Synovial fluid Gram stain,M000
M0001,Synovial fluid bacterial culture,M000
M0001,Blood culture,M000
M0001,Staphylococcus aureus culture,M000
M0002,Synovial fluid Gram stain,M000
M0002,Synovial fluid bacterial culture,M000
M0002,Blood culture,M000
M0002,Staphylococcus aureus culture,M000
M0003,Synovial fluid Gram stain,M000
M0003,Synovial fluid bacterial culture,M000
M0003,Blood culture,M000
M0003,Staphylococcus aureus culture,M000
M0004,Synovial fluid Gram stain,M000
M0004,Synovial fluid bacterial culture,M000
M0004,Blood culture,M000
M0004,Staphylococcus aureus culture,M000
M0005,Synovial fluid Gram stain,M000
M0005,Synovial fluid bacterial culture,M000
M0005,Blood culture,M000
M0005,Staphylococcus aureus culture,M000
M0006,Synovial fluid Gram stain,M000
M0006,Synovial fluid bacterial culture,M000
M0006,Blood culture,M000
M0006,Staphylococcus aureus culture,M000
M0007,Synovial fluid Gram stain,M000
M0007,Synovial fluid bacterial culture,M000
M0007,Blood culture,M000
M0007,Staphylococcus aureus culture,M000
M0008,Synovial fluid Gram stain,M000
M0008,Synovial fluid bacterial culture,M000
M0008,Blood culture,M000
M0008,Staphylococcus aureus culture,M000
M0009,Synovial fluid Gram stain,M000
M0009,Synovial fluid bacterial culture,M000
M0009,Blood culture,M000
M0009,Staphylococcus aureus culture,M000
M001,Synovial fluid Gram stain,M001
M001,Synovial fluid bacterial culture,M001
M001,Blood culture,M001
M001,Streptococcus pneumoniae culture,M001
M0010,Synovial fluid Gram stain,M001
M0010,Synovial fluid bacterial culture,M001
M0010,Blood culture,M001
M0010,Streptococcus pneumoniae culture,M001
M0011,Synovial fluid Gram stain,M001
M0011,Synovial fluid bacterial culture,M001
M0011,Blood culture,M001
M0011,Streptococcus pneumoniae culture,M001
M0012,Synovial fluid Gram stain,M001
M0012,Synovial fluid bacterial culture,M001
M0012,Blood culture,M001
M0012,Streptococcus pneumoniae culture,M001
M0013,Synovial fluid Gram stain,M001
M0013,Synovial fluid bacterial culture,M001
M0013,Blood culture,M001
M0013,Streptococcus pneumoniae culture,M001
M0014,Synovial fluid Gram stain,M001
M0014,Synovial fluid bacterial culture,M001
M0014,Blood culture,M001
M0014,Streptococcus pneumoniae culture,M001
M0015,Synovial fluid Gram stain,M001
M0015,Synovial fluid bacterial culture,M001
M0015,Blood culture,M001
M0015,Streptococcus pneumoniae culture,M001
M0016,Synovial fluid Gram stain,M001
M0016,Synovial fluid bacterial culture,M001
M0016,Blood culture,M001
M0016,Streptococcus pneumoniae culture,M001
M0017,Synovial fluid Gram stain,M001
M0017,Synovial fluid bacterial culture,M001
M0017,Blood culture,M001
M0017,Streptococcus pneumoniae culture,M001
M0018,Synovial fluid Gram stain,M001
M0018,Synovial fluid bacterial culture,M001
M0018,Blood culture,M001
M0018,Streptococcus pneumoniae culture,M001
M0019,Synovial fluid Gram stain,M001
M0019,Synovial fluid bacterial culture,M001
M0019,Blood culture,M001
M0019,Streptococcus pneumoniae culture,M001
M002,Synovial fluid Gram stain,M002
M002,Synovial fluid bacterial culture,M002
M002,Blood culture,M002
M002,Streptococcus spp. culture,M002
M0020,Synovial fluid Gram stain,M002
M0020,Synovial fluid bacterial culture,M002
M0020,Blood culture,M002
M0020,Streptococcus spp. culture,M002
M0021,Synovial fluid Gram stain,M002
M0021,Synovial fluid bacterial culture,M002
M0021,Blood culture,M002
M0021,Streptococcus spp. culture,M002
M0022,Synovial fluid Gram stain,M002
M0022,Synovial fluid bacterial culture,M002
M0022,Blood culture,M002
M0022,Streptococcus spp. culture,M002
M0023,Synovial fluid Gram stain,M002
M0023,Synovial fluid bacterial culture,M002
M0023,Blood culture,M002
M0023,Streptococcus spp. culture,M002
M0024,Synovial fluid Gram stain,M002
M0024,Synovial fluid bacterial culture,M002
M0024,Blood culture,M002
M0024,Streptococcus spp. culture,M002
M0025,Synovial fluid Gram stain,M002
M0025,Synovial fluid bacterial culture,M002
M0025,Blood culture,M002
M0025,Streptococcus spp. culture,M002
M0026,Synovial fluid Gram stain,M002
M0026,Synovial fluid bacterial culture,M002
M0026,Blood culture,M002
M0026,Streptococcus spp. culture,M002
M0027,Synovial fluid Gram stain,M002
M0027,Synovial fluid bacterial culture,M002
M0027,Blood culture,M002
M0027,Streptococcus spp. culture,M002
M0028,Synovial fluid Gram stain,M002
M0028,Synovial fluid bacterial culture,M002
M0028,Blood culture,M002
M0028,Streptococcus spp. culture,M002
M0029,Synovial fluid Gram stain,M002
M0029,Synovial fluid bacterial culture,M002
M0029,Blood culture,M002
M0029,Streptococcus spp. culture,M002
M008,Synovial fluid cell count,M008–M009
M008,Synovial fluid Gram stain,M008–M009
M008,Synovial fluid bacterial culture,M008–M009
M008,Blood culture,M008–M009
M0080,Synovial fluid cell count,M008–M009
M0080,Synovial fluid Gram stain,M008–M009
M0080,Synovial fluid bacterial culture,M008–M009
M0080,Blood culture,M008–M009
M0081,Synovial fluid cell count,M008–M009
M0081,Synovial fluid Gram stain,M008–M009
M0081,Synovial fluid bacterial culture,M008–M009
M0081,Blood culture,M008–M009
M0082,Synovial fluid cell count,M008–M009
M0082,Synovial fluid Gram stain,M008–M009
M0082,Synovial fluid bacterial culture,M008–M009
M0082,Blood culture,M008–M009
M0083,Synovial fluid cell count,M008–M009
M0083,Synovial fluid Gram stain,M008–M009
M0083,Synovial fluid bacterial culture,M008–M009
M0083,Blood culture,M008–M009
M0084,Synovial fluid cell count,M008–M009
M0084,Synovial fluid Gram stain,M008–M009
M0084,Synovial fluid bacterial culture,M008–M009
M0084,Blood culture,M008–M009
M0085,Synovial fluid cell count,M008–M009
M0085,Synovial fluid Gram stain,M008–M009
M0085,Synovial fluid bacterial culture,M008–M009
M0085,Blood culture,M008–M009
M0086,Synovial fluid cell count,M008–M009
M0086,Synovial fluid Gram stain,M008–M009
M0086,Synovial fluid bacterial culture,M008–M009
M0086,Blood culture,M008–M009
M0087,Synovial fluid cell count,M008–M009
M0087,Synovial fluid Gram stain,M008–M009
M0087,Synovial fluid bacterial culture,M008–M009
M0087,Blood culture,M008–M009
M0088,Synovial fluid cell count,M008–M009
M0088,Synovial fluid Gram stain,M008–M009
M0088,Synovial fluid bacterial culture,M008–M009
M0088,Blood culture,M008–M009
M0089,Synovial fluid cell count,M008–M009
M0089,Synovial fluid Gram stain,M008–M009
M0089,Synovial fluid bacterial culture,M008–M009
M0089,Blood culture,M008–M009
M009,Synovial fluid cell count,M008–M009
M009,Synovial fluid Gram stain,M008–M009
M009,Synovial fluid bacterial culture,M008–M009
M009,Blood culture,M008–M009
M010,Synovial fluid Gram stain and culture,M010
M010,Blood culture,M010
M010,Neisseria meningitidis DNA detection if available,M010
M0100,Synovial fluid Gram stain and culture,M010
M0100,Blood culture,M010
M0100,Neisseria meningitidis DNA detection if available,M010
M0101,Synovial fluid Gram stain and culture,M010
M0101,Blood culture,M010
M0101,Neisseria meningitidis DNA detection if available,M010
M0102,Synovial fluid Gram stain and culture,M010
M0102,Blood culture,M010
M0102,Neisseria meningitidis DNA detection if available,M010
M0103,Synovial fluid Gram stain and culture,M010
M0103,Blood culture,M010
M0103,Neisseria meningitidis DNA detection if available,M010
M0104,Synovial fluid Gram stain and culture,M010
M0104,Blood culture,M010
M0104,Neisseria meningitidis DNA detection if available,M010
M0105,Synovial fluid Gram stain and culture,M010
M0105,Blood culture,M010
M0105,Neisseria meningitidis DNA detection if available,M010
M0106,Synovial fluid Gram stain and culture,M010
M0106,Blood culture,M010
M0106,Neisseria meningitidis DNA detection if available,M010
M0107,Synovial fluid Gram stain and culture,M010
M0107,Blood culture,M010
M0107,Neisseria meningitidis DNA detection if available,M010
M0108,Synovial fluid Gram stain and culture,M010
M0108,Blood culture,M010
M0108,Neisseria meningitidis DNA detection if available,M010
M0109,Synovial fluid Gram stain and culture,M010
M0109,Blood culture,M010
M0109,Neisseria meningitidis DNA detection if available,M010
M011,Synovial fluid AFB smear,M011
M011,Mycobacterial culture,M011
M011,MTB complex DNA detection,M011
M011,Synovial biopsy histopathology,M011
M0110,Synovial fluid AFB smear,M011
M0110,Mycobacterial culture,M011
M0110,MTB complex DNA detection,M011
M0110,Synovial biopsy histopathology,M011
M0111,Synovial fluid AFB smear,M011
M0111,Mycobacterial culture,M011
M0111,MTB complex DNA detection,M011
M0111,Synovial biopsy histopathology,M011
M0112,Synovial fluid AFB smear,M011
M0112,Mycobacterial culture,M011
M0112,MTB complex DNA detection,M011
M0112,Synovial biopsy histopathology,M011
M0113,Synovial fluid AFB smear,M011
M0113,Mycobacterial culture,M011
M0113,MTB complex DNA detection,M011
M0113,Synovial biopsy histopathology,M011
M0114,Synovial fluid AFB smear,M011
M0114,Mycobacterial culture,M011
M0114,MTB complex DNA detection,M011
M0114,Synovial biopsy histopathology,M011
M0115,Synovial fluid AFB smear,M011
M0115,Mycobacterial culture,M011
M0115,MTB complex DNA detection,M011
M0115,Synovial biopsy histopathology,M011
M0116,Synovial fluid AFB smear,M011
M0116,Mycobacterial culture,M011
M0116,MTB complex DNA detection,M011
M0116,Synovial biopsy histopathology,M011
M0117,Synovial fluid AFB smear,M011
M0117,Mycobacterial culture,M011
M0117,MTB complex DNA detection,M011
M0117,Synovial biopsy histopathology,M011
M0118,Synovial fluid AFB smear,M011
M0118,Mycobacterial culture,M011
M0118,MTB complex DNA detection,M011
M0118,Synovial biopsy histopathology,M011
M0119,Synovial fluid AFB smear,M011
M0119,Mycobacterial culture,M011
M0119,MTB complex DNA detection,M011
M0119,Synovial biopsy histopathology,M011
M012,Borrelia burgdorferi antibody,M012
M012,Two-tier Lyme serology,M012
M012,Synovial fluid Borrelia DNA detection if available,M012
M0120,Borrelia burgdorferi antibody,M012
M0120,Two-tier Lyme serology,M012
M0120,Synovial fluid Borrelia DNA detection if available,M012
M0121,Borrelia burgdorferi antibody,M012
M0121,Two-tier Lyme serology,M012
M0121,Synovial fluid Borrelia DNA detection if available,M012
M0122,Borrelia burgdorferi antibody,M012
M0122,Two-tier Lyme serology,M012
M0122,Synovial fluid Borrelia DNA detection if available,M012
M0123,Borrelia burgdorferi antibody,M012
M0123,Two-tier Lyme serology,M012
M0123,Synovial fluid Borrelia DNA detection if available,M012
M0124,Borrelia burgdorferi antibody,M012
M0124,Two-tier Lyme serology,M012
M0124,Synovial fluid Borrelia DNA detection if available,M012
M0125,Borrelia burgdorferi antibody,M012
M0125,Two-tier Lyme serology,M012
M0125,Synovial fluid Borrelia DNA detection if available,M012
M0126,Borrelia burgdorferi antibody,M012
M0126,Two-tier Lyme serology,M012
M0126,Synovial fluid Borrelia DNA detection if available,M012
M0127,Borrelia burgdorferi antibody,M012
M0127,Two-tier Lyme serology,M012
M0127,Synovial fluid Borrelia DNA detection if available,M012
M0128,Borrelia burgdorferi antibody,M012
M0128,Two-tier Lyme serology,M012
M0128,Synovial fluid Borrelia DNA detection if available,M012
M0129,Borrelia burgdorferi antibody,M012
M0129,Two-tier Lyme serology,M012
M0129,Synovial fluid Borrelia DNA detection if available,M012
M013,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0130,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0131,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0132,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0133,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0134,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0135,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0136,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0137,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0138,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M0139,Pathogen-specific culture / serology / NAAT according to underlying bacterial disease,M013
M014,Rubella IgM antibody,M014
M014,Rubella virus RNA detection,M014
M0140,Rubella IgM antibody,M014
M0140,Rubella virus RNA detection,M014
M0141,Rubella IgM antibody,M014
M0141,Rubella virus RNA detection,M014
M0142,Rubella IgM antibody,M014
M0142,Rubella virus RNA detection,M014
M0143,Rubella IgM antibody,M014
M0143,Rubella virus RNA detection,M014
M0144,Rubella IgM antibody,M014
M0144,Rubella virus RNA detection,M014
M0145,Rubella IgM antibody,M014
M0145,Rubella virus RNA detection,M014
M0146,Rubella IgM antibody,M014
M0146,Rubella virus RNA detection,M014
M0147,Rubella IgM antibody,M014
M0147,Rubella virus RNA detection,M014
M0148,Rubella IgM antibody,M014
M0148,Rubella virus RNA detection,M014
M0149,Rubella IgM antibody,M014
M0149,Rubella virus RNA detection,M014
M015,Virus-specific antibody / NAAT according to suspected virus,M015
M0150,Virus-specific antibody / NAAT according to suspected virus,M015
M0151,Virus-specific antibody / NAAT according to suspected virus,M015
M0152,Virus-specific antibody / NAAT according to suspected virus,M015
M0153,Virus-specific antibody / NAAT according to suspected virus,M015
M0154,Virus-specific antibody / NAAT according to suspected virus,M015
M0155,Virus-specific antibody / NAAT according to suspected virus,M015
M0156,Virus-specific antibody / NAAT according to suspected virus,M015
M0157,Virus-specific antibody / NAAT according to suspected virus,M015
M0158,Virus-specific antibody / NAAT according to suspected virus,M015
M0159,Virus-specific antibody / NAAT according to suspected virus,M015
M016,Synovial fluid fungal culture,M016
M016,Fungal microscopy,M016
M016,Fungal antigen / antibody according to suspected fungus,M016
M0160,Synovial fluid fungal culture,M016
M0160,Fungal microscopy,M016
M0160,Fungal antigen / antibody according to suspected fungus,M016
M0161,Synovial fluid fungal culture,M016
M0161,Fungal microscopy,M016
M0161,Fungal antigen / antibody according to suspected fungus,M016
M0162,Synovial fluid fungal culture,M016
M0162,Fungal microscopy,M016
M0162,Fungal antigen / antibody according to suspected fungus,M016
M0163,Synovial fluid fungal culture,M016
M0163,Fungal microscopy,M016
M0163,Fungal antigen / antibody according to suspected fungus,M016
M0164,Synovial fluid fungal culture,M016
M0164,Fungal microscopy,M016
M0164,Fungal antigen / antibody according to suspected fungus,M016
M0165,Synovial fluid fungal culture,M016
M0165,Fungal microscopy,M016
M0165,Fungal antigen / antibody according to suspected fungus,M016
M0166,Synovial fluid fungal culture,M016
M0166,Fungal microscopy,M016
M0166,Fungal antigen / antibody according to suspected fungus,M016
M0167,Synovial fluid fungal culture,M016
M0167,Fungal microscopy,M016
M0167,Fungal antigen / antibody according to suspected fungus,M016
M0168,Synovial fluid fungal culture,M016
M0168,Fungal microscopy,M016
M0168,Fungal antigen / antibody according to suspected fungus,M016
M0169,Synovial fluid fungal culture,M016
M0169,Fungal microscopy,M016
M0169,Fungal antigen / antibody according to suspected fungus,M016
M018,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0180,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0181,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0182,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0183,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0184,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0185,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0186,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0187,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0188,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M0189,Pathogen-specific microscopy / culture / serology / NAAT according to underlying infection,M018
M020,Vitamin B12,M020
M020,Folate,M020
M020,Albumin if malabsorption after intestinal bypass suspected,M020
M0200,Vitamin B12,M020
M0200,Folate,M020
M0200,Albumin if malabsorption after intestinal bypass suspected,M020
M0201,Vitamin B12,M020
M0201,Folate,M020
M0201,Albumin if malabsorption after intestinal bypass suspected,M020
M0202,Vitamin B12,M020
M0202,Folate,M020
M0202,Albumin if malabsorption after intestinal bypass suspected,M020
M0203,Vitamin B12,M020
M0203,Folate,M020
M0203,Albumin if malabsorption after intestinal bypass suspected,M020
M0204,Vitamin B12,M020
M0204,Folate,M020
M0204,Albumin if malabsorption after intestinal bypass suspected,M020
M0205,Vitamin B12,M020
M0205,Folate,M020
M0205,Albumin if malabsorption after intestinal bypass suspected,M020
M0206,Vitamin B12,M020
M0206,Folate,M020
M0206,Albumin if malabsorption after intestinal bypass suspected,M020
M0207,Vitamin B12,M020
M0207,Folate,M020
M0207,Albumin if malabsorption after intestinal bypass suspected,M020
M0208,Vitamin B12,M020
M0208,Folate,M020
M0208,Albumin if malabsorption after intestinal bypass suspected,M020
M0209,Vitamin B12,M020
M0209,Folate,M020
M0209,Albumin if malabsorption after intestinal bypass suspected,M020
M021,Stool culture,M021
M021,Stool bacterial pathogen NAAT if recent dysentery suspected,M021
M0210,Stool culture,M021
